"site","species","plant_no","dry_mass_g","sla_cm2g","niche","genusspecies","group","niche2"
"las_cruces","niphidium_crassifolium","7",0.0033,121.212121212121,"epiphyte","nipcra","E1","epiphyte"
"las_cruces","niphidium_crassifolium","2",0.0106,37.7358490566038,"epiphyte","nipcra","E1","epiphyte"
"las_cruces","niphidium_crassifolium","8",0.0058,68.9655172413793,"epiphyte","nipcra","E1","epiphyte"
"las_cruces","niphidium_crassifolium","4",0.0068,58.8235294117647,"epiphyte","nipcra","E1","epiphyte"
"las_cruces","niphidium_crassifolium","3",0.005,72,"epiphyte","nipcra","E1","epiphyte"
"las_cruces","oleandra_costaricensis","4",0.0074,54.0540540540541,"terrestrial","olecos","E1","terrestrial"
"las_cruces","oleandra_costaricensis","5",0.008,50,"terrestrial","olecos","E1","terrestrial"
"las_cruces","oleandra_costaricensis","6",0.007,57.1428571428571,"terrestrial","olecos","E1","terrestrial"
"las_cruces","oleandra_costaricensis","2",0.0057,70.1754385964912,"terrestrial","olecos","E1","terrestrial"
"las_cruces","oleandra_costaricensis","1",0.0076,52.6315789473684,"terrestrial","olecos","E1","terrestrial"
"las_cruces","oleandra_costaricensis","3",0.0089,44.9438202247191,"terrestrial","olecos","E1","terrestrial"
"las_cruces","olfersia_cervina","6",0.0081,49.3827160493827,"terrestrial","olfcer","E1","terrestrial"
"las_cruces","olfersia_cervina","5",0.0077,51.9480519480519,"terrestrial","olfcer","E1","terrestrial"
"las_cruces","olfersia_cervina","3",0.0062,64.5161290322581,"terrestrial","olfcer","E1","terrestrial"
"las_cruces","olfersia_cervina","2",0.0116,34.4827586206897,"terrestrial","olfcer","E1","terrestrial"
"las_cruces","olfersia_cervina","4",0.0072,55.5555555555556,"terrestrial","olfcer","E1","terrestrial"
"las_cruces","olfersia_cervina","1",0.007,57.1428571428571,"terrestrial","olfcer","E1","terrestrial"
"las_cruces","parapolystichum_excultum","5",0.0324,12.3456790123457,"terrestrial","parexc","E1","terrestrial"
"las_cruces","parapolystichum_excultum","3",0.0385,10.3896103896104,"terrestrial","parexc","E1","terrestrial"
"las_cruces","parapolystichum_excultum","1",0.0525,7.61904761904762,"terrestrial","parexc","E1","terrestrial"
"las_cruces","parapolystichum_excultum","2",0.0342,11.6959064327485,"terrestrial","parexc","E1","terrestrial"
"las_cruces","parapolystichum_excultum","4",0.0324,12.3456790123457,"terrestrial","parexc","E1","terrestrial"
"las_cruces","parapolystichum_excultum","6",0.0788,5.0761421319797,"terrestrial","parexc","E1","terrestrial"
"las_cruces","parapolystichum_excultum","7",0.0289,13.840830449827,"terrestrial","parexc","E1","terrestrial"
"las_cruces","serpocaulon_fraxinifolium","6",0.0066,60.6060606060606,"epiphyte","serfra","E1","epiphyte"
"las_cruces","serpocaulon_fraxinifolium","5",0.0048,83.3333333333333,"epiphyte","serfra","E1","epiphyte"
"las_cruces","serpocaulon_fraxinifolium","4",0.0086,46.5116279069767,"epiphyte","serfra","E1","epiphyte"
"las_cruces","serpocaulon_fraxinifolium","2",0.0086,46.5116279069767,"epiphyte","serfra","E1","epiphyte"
"las_cruces","serpocaulon_fraxinifolium","3",0.007,57.1428571428571,"epiphyte","serfra","E1","epiphyte"
"las_cruces","serpocaulon_fraxinifolium","1",0.0063,63.4920634920635,"epiphyte","serfra","E1","epiphyte"
"las_cruces","serpocaulon_triseriale","4",0.0059,67.7966101694915,"epiphyte","sertri","E1","epiphyte"
"las_cruces","serpocaulon_triseriale","5",0.0075,53.3333333333333,"epiphyte","sertri","E1","epiphyte"
"las_cruces","serpocaulon_triseriale","3",0.0073,54.7945205479452,"epiphyte","sertri","E1","epiphyte"
"las_cruces","serpocaulon_triseriale","2",0.0056,71.4285714285714,"epiphyte","sertri","E1","epiphyte"
"las_cruces","serpocaulon_triseriale","1",0.0082,48.780487804878,"epiphyte","sertri","E1","epiphyte"
"las_cruces","serpocaulon_triseriale","6",0.0078,51.2820512820513,"epiphyte","sertri","E1","epiphyte"
