"sample_id","genusspecies","individual","K","MPa","curve_id","perc_loss_k","PLC"
"serfra_6_2.00","serfra",6,0.335691125861341,2,"serfra-6",0.191353929454705,19.1353929454705
"serfra_6_2.50","serfra",6,0.221443903371813,2.5,"serfra-6",0.126229613473569,12.6229613473569
"serfra_6_3.00","serfra",6,0.0474953614383652,3,"serfra-6",0.0270737691345962,2.70737691345962
"serfra_9_0.00","serfra",9,1.30430562820856,0,"serfra-9",1,100
"serfra_9_0.50","serfra",9,1.22585114983339,0.5,"serfra-9",0.939849620611594,93.9849620611594
"serfra_9_1.00","serfra",9,1.42502629058496,1,"serfra-9",1.09255550215037,109.255550215037
"serfra_9_1.50","serfra",9,0.777276865433453,1.5,"serfra-9",0.59593154290151,59.593154290151
"serfra_9_2.00","serfra",9,0.714685684446576,2,"serfra-9",0.547943418313836,54.7943418313836
"serfra_9_2.50","serfra",9,0.129007692476426,2.5,"serfra-9",0.0989090974433771,9.89090974433771
"sertri_1_0.00","sertri",1,7.30373209137892,0,"sertri-1",1,100
"sertri_1_0.50","sertri",1,5.90726105912694,0.5,"sertri-1",0.808800348263004,80.8800348263004
"sertri_1_1.00","sertri",1,4.30886638307898,1,"sertri-1",0.58995405762008,58.995405762008
"sertri_1_1.50","sertri",1,0.821088760156933,1.5,"sertri-1",0.112420437919145,11.2420437919145
"sertri_1_2.00","sertri",1,0.318743571919239,2,"sertri-1",0.0436411916444024,4.36411916444024
"sertri_2_0.00","sertri",2,4.17580752556913,0,"sertri-2",1,100
"sertri_2_0.50","sertri",2,3.58652701230453,0.5,"sertri-2",0.858882261776593,85.8882261776593
"sertri_2_1.00","sertri",2,2.49438657345573,1,"sertri-2",0.59734232437252,59.734232437252
"sertri_2_1.50","sertri",2,1.20261287934164,1.5,"sertri-2",0.287995285217972,28.7995285217972
"sertri_2_2.00","sertri",2,0.533164203323708,2,"sertri-2",0.127679305154526,12.7679305154526
"sertri_3_0.00","sertri",3,5.82293661308349,0,"sertri-3",1,100
"sertri_3_0.50","sertri",3,4.87113115474538,0.5,"sertri-3",0.836542019674487,83.6542019674487
"sertri_3_1.00","sertri",3,3.52952642653918,1,"sertri-3",0.606141996910756,60.6141996910756
"sertri_3_1.50","sertri",3,1.89329776624106,1.5,"sertri-3",0.325144835337385,32.5144835337385
"sertri_3_2.00","sertri",3,0.618771365264484,2,"sertri-3",0.106264485839357,10.6264485839357
"sertri_3_2.50","sertri",3,0.0958964081396062,2.5,"sertri-3",0.016468736397394,1.6468736397394
"sertri_4_0.00","sertri",4,4.95722434145262,0,"sertri-4",1,100
"sertri_4_0.50","sertri",4,4.62333438831326,0.5,"sertri-4",0.932645785193268,93.2645785193268
"sertri_4_1.00","sertri",4,4.17681876954531,1,"sertri-4",0.842572068933514,84.2572068933514
"sertri_4_1.50","sertri",4,3.81605849044641,1.5,"sertri-4",0.769797416375994,76.9797416375993
"sertri_4_2.00","sertri",4,1.14014363645852,2,"sertri-4",0.2299963765861,22.99963765861
"sertri_4_2.50","sertri",4,0.253899730856453,2.5,"sertri-4",0.051218123967747,5.1218123967747
"sertri_5_0.00","sertri",5,3.91931797917997,0,"sertri-5",1,100
"sertri_5_0.50","sertri",5,3.55725895653207,0.5,"sertri-5",0.907621932037358,90.7621932037358
"sertri_5_1.00","sertri",5,3.2133782349443,1,"sertri-5",0.819881992738091,81.9881992738091
"sertri_5_1.50","sertri",5,0.914674585362127,1.5,"sertri-5",0.233375957302016,23.3375957302016
