"species","plant_no","niche2","guardcell_length_um","average_guardcell_width_um","stomatal_size"
"salpichlaena_volubilis","1","terrestrial",0.0584444444444444,0.00977777777777778,0.001144
"salpichlaena_volubilis","2","terrestrial",0.0603333333333333,0.0102222222222222,0.001244
"salpichlaena_volubilis","3","terrestrial",0.0585555555555556,0.0105555555555556,0.00123466666666667
"salpichlaena_volubilis","4","terrestrial",0.0645555555555556,0.0115555555555556,0.00149244444444444
"salpichlaena_volubilis","5","terrestrial",0.0562222222222222,0.0106666666666667,0.00119844444444444
"salpichlaena_volubilis","6","terrestrial",0.0627777777777778,0.0107777777777778,0.00135733333333333
"serpocaulon_fraxinifolium","1","epiphyte",0.045625,0.014,0.001282
"serpocaulon_fraxinifolium","2","epiphyte",0.042625,0.012,0.0010275
"serpocaulon_fraxinifolium","3","epiphyte",0.049125,0.015,0.00149325
"serpocaulon_fraxinifolium","4","epiphyte",0.0445,0.012375,0.00111
"serpocaulon_fraxinifolium","5","epiphyte",0.048125,0.01275,0.001229
"serpocaulon_fraxinifolium","6","epiphyte",0.05,0.012125,0.00121075
"serpocaulon_loriciforme","1","epiphyte",0.039,0.012,0.000936666666666667
"serpocaulon_loriciforme","2","epiphyte",0.0427777777777778,0.0107777777777778,0.000924
"serpocaulon_loriciforme","3","epiphyte",0.0427777777777778,0.012,0.00102733333333333
"serpocaulon_loriciforme","4","epiphyte",0.0408888888888889,0.0128888888888889,0.00105644444444444
"serpocaulon_loriciforme","5","epiphyte",0.0438888888888889,0.012,0.00105177777777778
"serpocaulon_loriciforme","6","epiphyte",0.044,0.0131111111111111,0.00115533333333333
"serpocaulon_triseriale","1","epiphyte",0.051625,0.013625,0.0014115
"serpocaulon_triseriale","2","epiphyte",0.051875,0.015125,0.00157625
"serpocaulon_triseriale","3","epiphyte",0.05225,0.0155,0.001626
"serpocaulon_triseriale","4","epiphyte",0.05175,0.0165,0.0017075
"serpocaulon_triseriale","5","epiphyte",0.0498571428571429,0.0154285714285714,0.00154171428571429
"serpocaulon_triseriale","6","epiphyte",0.05,0.0147,0.0014712
"tectaria_incisa","1","terrestrial",0.0358888888888889,0.00844444444444444,0.000606222222222222
"tectaria_incisa","2","terrestrial",0.0477777777777778,0.0108888888888889,0.00103333333333333
"tectaria_incisa","3","terrestrial",0.0483333333333333,0.0115555555555556,0.00111088888888889
"tectaria_incisa","4","terrestrial",0.045,0.00966666666666667,0.000868666666666667
"tectaria_incisa","5","terrestrial",0.0472222222222222,0.0103333333333333,0.000976444444444444
"tectaria_incisa","6","terrestrial",0.0378888888888889,0.00922222222222222,0.000696444444444444
